PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
3L	V5bz	D6	Alpha44	16S	15	2.24	NA	Zanne-16S/Zanne-16S	Zanne	D6	QUVE2	1
3L	W5tz	E6	Alpha45	ITS-1_4	15	18.81	NA	Zanne-ITS/Zanne-ITS	Zanne	E6	ULRU	3
3L	W5tz	E6	Alpha45	LSU	15	34.36	NA	Zanne-LSU/Zanne-LSU	Zanne	E6	ULRU	3
3L	W5tz	E6	Alpha45	16S	15	29.65	NA	Zanne-16S/Zanne-16S	Zanne	E6	ULRU	3
3L	W5bz	F6	Alpha46	ITS-1_4	15	27.73	NA	Zanne-ITS/Zanne-ITS	Zanne	F6	ULRU	3
3L	W5bz	F6	Alpha46	LSU	15	36.15	NA	Zanne-LSU/Zanne-LSU	Zanne	F6	ULRU	3
3L	W5bz	F6	Alpha46	16S	15	2.52	NA	Zanne-16S/Zanne-16S	Zanne	F6	ULRU	3
3L	X5tz	G6	Alpha47	ITS-1_4	15	12.06	NA	Zanne-ITS/Zanne-ITS	Zanne	G6	VIVU	3
3L	X5tz	G6	Alpha47	LSU	15	31.53	NA	Zanne-LSU/Zanne-LSU	Zanne	G6	VIVU	3
3L	X5tz	G6	Alpha47	16S	15	37.95	NA	Zanne-16S/Zanne-16S	Zanne	G6	VIVU	3
3L	X5bz	H6	Alpha48	ITS-1_4	15	14.99	NA	Zanne-ITS/Zanne-ITS	Zanne	H6	VIVU	3
3L	X5bz	H6	Alpha48	LSU	15	30.97	NA	Zanne-LSU/Zanne-LSU	Zanne	H6	VIVU	3
3L	X5bz	H6	Alpha48	16S	15	21.28	NA	Zanne-16S/Zanne-16S	Zanne	H6	VIVU	3
3L	C5tz	E1	Alpha5	ITS-1_4	15	13.85	NA	Zanne-ITS/Zanne-ITS	Zanne	E1	AMAR	3
3L	C5tz	E1	Alpha5	LSU	15	36.83	NA	Zanne-LSU/Zanne-LSU	Zanne	E1	AMAR	3
